"_time","_measurement","_value","entity_id"
1768755779984,%,50,bellmore_backup_reserve
1768765565393,%,49.528672427337,bellmore_percentage_charged
1768755779986,%,40,bellmore_vpp_backup_reserve
1768755779984,binary_sensor.bellmore_grid_services_enabled,0,bellmore_grid_services_enabled
1768755779984,binary_sensor.bellmore_storm_watch_active,0,bellmore_storm_watch_active
1768765687420,kW,-1.359,bellmore_battery_power
1768765687420,kW,2.909,bellmore_grid_power
1768765687420,kW,1.744,bellmore_load_power
1768765687420,kW,0.194,bellmore_solar_power
1768765687915,kWh,1.76,bellmore_battery_charged
1768765087770,kWh,1.703,bellmore_battery_discharged
1768604077457,kWh,0.057,bellmore_grid_exported
1768765687915,kWh,30.61,bellmore_grid_imported
1768765687915,kWh,32.221,bellmore_home_usage
1768765687915,kWh,1.668,bellmore_solar_generated
1768755779986,switch.bellmore_allow_charging_from_grid,1,bellmore_allow_charging_from_grid
1768755779987,switch.bellmore_storm_watch,1,bellmore_storm_watch
